安徽组播,#genre#
绩溪新闻频道,http://60.169.43.41:4000/udp/238.1.78.218:7616
池州新闻综合,http://60.169.43.41:4000/udp/238.1.78.147:7048
池州公共频道,http://60.169.43.41:4000/udp/238.1.78.148:7056
石台综合频道,http://60.169.43.41:4000/udp/238.1.78.221:7640
东至综合频道,http://60.169.43.41:4000/udp/238.1.79.13:4216
铜陵新闻综合,http://60.169.43.41:4000/udp/238.1.78.139:6984
铜陵公共频道,http://60.169.43.41:4000/udp/238.1.78.140:6992
铜陵科教频道,http://60.169.43.41:4000/udp/238.1.78.141:7000
义安新闻综合,http://60.169.43.41:4000/udp/238.1.78.211:7560
枞阳电视台,http://60.169.43.41:4000/udp/238.1.78.210:7552
六安综合频道,http://60.169.43.41:4000/udp/238.1.78.144:7024
六安公共频道,http://60.169.43.41:4000/udp/238.1.78.145:7032
霍山综合频道,http://60.169.43.41:4000/udp/238.1.78.220:7632
霍邱新闻综合,http://60.169.43.41:4000/udp/238.1.78.119:6824
金寨综合频道,http://60.169.43.41:4000/udp/238.1.79.21:4280
淮南新闻综合,http://60.169.43.41:4000/udp/238.1.78.113:6776
淮南公共频道,http://60.169.43.41:4000/udp/238.1.78.114:6784
寿县新闻综合,http://60.169.43.41:4000/udp/238.1.78.146:7040
淮北新闻综合,http://60.169.43.41:4000/udp/238.1.78.135:6952
淮北公共频道,http://60.169.43.41:4000/udp/238.1.78.136:6960
淮北教育频道,http://60.169.43.41:4000/udp/238.1.78.137:6968
濉溪新闻频道,http://60.169.43.41:4000/udp/238.1.78.209:7544
宿州新闻综合,http://60.169.43.41:4000/udp/238.1.78.121:6840
宿州公共频道,http://60.169.43.41:4000/udp/238.1.78.122:6848
宿州科教频道,http://60.169.43.41:4000/udp/238.1.78.123:6856
萧县新闻综合,http://60.169.43.41:4000/udp/238.1.79.46:4480
泗县新闻频道,http://60.169.43.41:4000/udp/238.1.78.193:7416
蚌埠新闻综合,http://60.169.43.41:4000/udp/238.1.78.180:7312
蚌埠公共频道,http://60.169.43.41:4000/udp/238.1.78.181:7320
五河新闻综合,http://60.169.43.41:4000/udp/238.1.79.52:4528
固镇新闻综合,http://60.169.43.41:4000/udp/238.1.79.47:4488
阜阳新闻综合,http://60.169.43.41:4000/udp/238.1.78.124:6864
阜阳公共频道,http://60.169.43.41:4000/udp/238.1.78.125:6872
