更新时间: 2025-11-28 18:46:29（北京时间）

更新时间,#genre#
2025-11-28 18:46:29,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
北京卫视,http://123.113.182.104:8001/rtp/239.3.1.139:8001$北京市联通
北京卫视,http://116.235.252.22:8888/rtp/239.45.3.229:5140$上海市电信
北京卫视,http://116.235.252.22:8888/rtp/233.18.204.87:5140$上海市电信
北京卫视,http://116.235.252.22:8888/rtp/239.45.3.123:5140$上海市电信
北京卫视,http://116.235.252.22:8888/rtp/233.18.204.209:5140$上海市电信
北京卫视,http://58.38.126.237:4022/rtp/239.45.3.229:5140$上海市电信
北京卫视,http://58.38.126.237:4022/rtp/233.18.204.87:5140$上海市电信
北京卫视,http://58.38.126.237:4022/rtp/239.45.3.123:5140$上海市电信
北京卫视,http://58.38.126.237:4022/rtp/233.18.204.209:5140$上海市电信
广东卫视,http://123.113.182.104:8001/rtp/239.3.1.142:8048$北京市联通
广东卫视,http://123.113.182.104:8001/rtp/239.3.1.203:2000$北京市联通
广东卫视,http://116.235.252.22:8888/rtp/239.45.3.230:5140$上海市电信
广东卫视,http://116.235.252.22:8888/rtp/233.18.204.88:5140$上海市电信
广东卫视,http://116.235.252.22:8888/rtp/233.18.204.218:5140$上海市电信
广东卫视,http://58.38.126.237:4022/rtp/239.45.3.230:5140$上海市电信
广东卫视,http://58.38.126.237:4022/rtp/233.18.204.88:5140$上海市电信
广东卫视,http://58.38.126.237:4022/rtp/233.18.204.218:5140$上海市电信
广西卫视,http://116.235.252.22:8888/rtp/239.45.0.5:5140$上海市电信
广西卫视,http://116.235.252.22:8888/rtp/233.18.204.107:5140$上海市电信
