央视,#genre#
CCTV16,http://183.141.109.16:8686/rtp/233.50.201.192:5140
CCTV17,http://183.141.109.16:8686/rtp/233.50.201.35:5140
CCTV1,http://116.18.38.152:8888/udp/239.77.1.17:5146
CCTV1,http://116.18.38.152:8888/udp/239.77.1.144:5146
CCTV1,http://116.18.38.152:8888/udp/239.77.0.86:5146
CCTV1,http://116.18.38.152:8888/udp/239.77.0.129:5146
CCTV2,http://116.18.38.152:8888/udp/239.77.1.158:5146
CCTV2,http://116.18.38.152:8888/udp/239.253.43.17:5146
CCTV2,http://116.18.38.152:8888/udp/239.77.0.137:5146
CCTV3,http://116.18.38.152:8888/udp/239.77.0.169:5146
CCTV3,http://116.18.38.152:8888/udp/239.77.0.175:5146
CCTV4,http://116.18.38.152:8888/udp/239.77.1.163:5146
CCTV4,http://116.18.38.152:8888/udp/239.77.1.166:5146
CCTV4,http://116.18.38.152:8888/udp/239.77.0.78:5146
CCTV5,http://116.18.38.152:8888/udp/239.77.0.170:5146
CCTV5,http://116.18.38.152:8888/udp/239.77.0.177:5146
CCTV5+,http://116.18.38.152:8888/udp/239.77.0.87:5146
CCTV5+,http://116.18.38.152:8888/udp/239.77.1.31:5146
CCTV5+,http://116.18.38.152:8888/udp/239.77.1.147:5146
CCTV6,http://116.18.38.152:8888/udp/239.77.0.171:5146
CCTV6,http://116.18.38.152:8888/udp/239.77.0.178:5146
CCTV7,http://116.18.38.152:8888/udp/239.77.1.159:5146
CCTV7,http://116.18.38.152:8888/udp/239.77.1.167:5146
CCTV7,http://116.18.38.152:8888/udp/239.77.0.138:5146
CCTV8,http://116.18.38.152:8888/udp/239.77.0.172:5146
CCTV8,http://116.18.38.152:8888/udp/239.77.0.181:5146
CCTV9,http://116.18.38.152:8888/udp/239.77.1.160:5146
CCTV9,http://116.18.38.152:8888/udp/239.77.1.168:5146
CCTV9,http://116.18.38.152:8888/udp/239.77.0.135:5146
CCTV10,http://116.18.38.152:8888/udp/239.77.1.113:5146
CCTV10,http://116.18.38.152:8888/udp/239.77.1.169:5146
CCTV10,http://116.18.38.152:8888/udp/239.77.0.134:5146
CCTV11,http://116.18.38.152:8888/udp/239.77.1.238:5146
CCTV12,http://116.18.38.152:8888/udp/239.77.1.109:5146
CCTV12,http://116.18.38.152:8888/udp/239.77.1.170:5146
CCTV12,http://116.18.38.152:8888/udp/239.77.0.136:5146
CCTV13,http://116.18.38.152:8888/udp/239.77.0.188:5146
CCTV13,http://116.18.38.152:8888/udp/239.253.43.196:5146
CCTV14,http://116.18.38.152:8888/udp/239.77.1.161:5146
CCTV14,http://116.18.38.152:8888/udp/239.77.1.171:5146
CCTV14,http://116.18.38.152:8888/udp/239.77.0.133:5146
CCTV15,http://116.18.38.152:8888/udp/239.77.1.239:5146
CCTV16,http://116.18.38.152:8888/udp/239.77.0.165:5146
CCTV16,http://116.18.38.152:8888/udp/239.77.1.76:5146
CCTV16,http://116.18.38.152:8888/udp/239.77.1.98:5146
CCTV17,http://116.18.38.152:8888/udp/239.77.1.121:5146
CCTV4,http://116.18.38.152:8888/udp/239.77.0.194:5146
CCTV4,http://116.18.38.152:8888/udp/239.77.0.174:5146
CCTV1,http://27.10.72.86:8001/udp/225.0.4.74:7980
CCTV2,http://27.10.72.86:8001/udp/225.0.4.132:7980
CCTV3,http://27.10.72.86:8001/udp/225.0.4.142:7980
CCTV4,http://27.10.72.86:8001/udp/225.0.4.176:7980
CCTV5,http://27.10.72.86:8001/udp/225.0.4.143:7980
CCTV5+,http://27.10.72.86:8001/udp/225.0.4.73:7980
CCTV6,http://27.10.72.86:8001/udp/225.0.4.144:7980
CCTV7,http://27.10.72.86:8001/udp/225.0.4.127:7980
CCTV8,http://27.10.72.86:8001/udp/225.0.4.137:7980
CCTV9,http://27.10.72.86:8001/udp/225.0.4.131:7980
