江苏电信组播,#genre#
黑龙江卫视,http://fengqiang.press:8188/rtp/239.49.1.50:6000
黑龙江卫视,http://fengqiang.press:8188/rtp/239.49.0.66:8520
湖北卫视,http://fengqiang.press:8188/rtp/239.49.1.48:6000
湖北卫视,http://fengqiang.press:8188/rtp/239.49.0.64:8504
湖南卫视,http://fengqiang.press:8188/rtp/239.49.1.38:6000
湖南卫视,http://fengqiang.press:8188/rtp/239.49.0.54:8424
吉林卫视,http://fengqiang.press:8188/rtp/239.49.9.1:6000
吉林卫视,http://fengqiang.press:8188/rtp/239.49.1.49:6000
吉林卫视,http://fengqiang.press:8188/rtp/239.49.0.65:8512
江苏卫视,http://fengqiang.press:8188/rtp/239.49.1.16:6000
江苏卫视,http://fengqiang.press:8188/rtp/239.49.0.16:8120
江西卫视,http://fengqiang.press:8188/rtp/239.49.1.47:6000
江西卫视,http://fengqiang.press:8188/rtp/239.49.0.63:8496
辽宁卫视,http://fengqiang.press:8188/rtp/239.49.1.35:6000
辽宁卫视,http://fengqiang.press:8188/rtp/239.49.0.51:8400
旅游卫视,http://fengqiang.press:8188/rtp/239.49.0.57:8448
南方卫视,http://fengqiang.press:8188/rtp/239.49.1.249:6000
内蒙古卫视,http://fengqiang.press:8188/rtp/239.49.1.240:6000
宁夏卫视,http://fengqiang.press:8188/rtp/239.49.1.237:6000
青海卫视,http://fengqiang.press:8188/rtp/239.49.1.31:6000
青海卫视,http://fengqiang.press:8188/rtp/239.49.1.53:6000
青海卫视,http://fengqiang.press:8188/rtp/239.49.0.69:8544
山东教育,http://fengqiang.press:8188/rtp/239.49.1.250:6000
山东卫视,http://fengqiang.press:8188/rtp/239.49.1.37:6000
山东卫视,http://fengqiang.press:8188/rtp/239.49.0.53:8416
山西卫视,http://fengqiang.press:8188/rtp/239.49.1.51:6000
山西卫视,http://fengqiang.press:8188/rtp/239.49.0.67:8528
陕西卫视,http://fengqiang.press:8188/rtp/239.49.1.248:6000
深圳卫视,http://fengqiang.press:8188/rtp/239.49.1.59:6000
深圳卫视,http://fengqiang.press:8188/rtp/239.49.0.100:8788
四川卫视,http://fengqiang.press:8188/rtp/239.49.1.43:6000
四川卫视,http://fengqiang.press:8188/rtp/239.49.0.59:8464
天津卫视,http://fengqiang.press:8188/rtp/239.49.1.46:6000
天津卫视,http://fengqiang.press:8188/rtp/239.49.0.62:8488
新疆卫视,http://fengqiang.press:8188/rtp/239.49.1.239:6000
重庆卫视,http://fengqiang.press:8188/rtp/239.49.1.42:6000
重庆卫视,http://fengqiang.press:8188/rtp/239.49.0.58:8456
云南卫视,http://fengqiang.press:8188/rtp/239.49.1.235:6000
浙江卫视,http://fengqiang.press:8188/rtp/239.49.1.34:6000
浙江卫视,http://fengqiang.press:8188/rtp/239.49.0.50:8392
西藏卫视,http://fengqiang.press:8188/rtp/239.49.1.139:6000

4K花园HD,http://fengqiang.press:8188/rtp/239.49.8.205:6000
4K花园HD,http://fengqiang.press:8188/rtp/239.49.8.207:6000
4K花园HD,http://fengqiang.press:8188/rtp/239.49.8.208:6000

江苏新闻HD,http://fengqiang.press:8188/rtp/239.49.9.40:6000
江苏影视,http://fengqiang.press:8188/rtp/239.49.1.20:6000
江苏影视,http://fengqiang.press:8188/rtp/239.49.0.20:8152
江苏影视HD,http://fengqiang.press:8188/rtp/239.49.9.38:6000
江苏综艺,http://fengqiang.press:8188/rtp/239.49.1.18:6000
江苏综艺,http://fengqiang.press:8188/rtp/239.49.0.18:8136
江苏综艺HD,http://fengqiang.press:8188/rtp/239.49.9.36:6000
江苏城市,http://fengqiang.press:8188/rtp/239.49.1.17:6000
江苏城市,http://fengqiang.press:8188/rtp/239.49.0.17:8128
江苏城市HD,http://fengqiang.press:8188/rtp/239.49.9.35:6000
江苏导视,http://fengqiang.press:8188/rtp/239.49.0.190:9458
江苏导视HD,http://fengqiang.press:8188/rtp/239.49.8.34:8612
江苏导视HD,http://fengqiang.press:8188/rtp/239.49.8.150:6000
江苏公共,http://fengqiang.press:8188/rtp/239.49.1.22:6000
江苏公共,http://fengqiang.press:8188/rtp/239.49.0.149:9186
江苏购物,http://fengqiang.press:8188/rtp/239.49.1.24:6000
江苏国际,http://fengqiang.press:8188/rtp/239.49.1.23:6000
江苏国际,http://fengqiang.press:8188/rtp/239.49.0.22:8168
江苏教育,http://fengqiang.press:8188/rtp/239.49.1.25:6000
江苏教育,http://fengqiang.press:8188/rtp/239.49.0.23:8176
江苏教育HD,http://fengqiang.press:8188/rtp/239.49.9.42:6000
江苏卡通,http://fengqiang.press:8188/rtp/239.49.1.21:6000
江苏卡通HD,http://fengqiang.press:8188/rtp/239.49.9.39:6000
江苏体育,http://fengqiang.press:8188/rtp/239.49.1.19:6000
江苏体育HD,http://fengqiang.press:8188/rtp/239.49.9.37:6000
江苏体育,http://fengqiang.press:8188/rtp/239.49.0.19:8144
百视通,http://fengqiang.press:8188/rtp/239.49.1.74:6000
百视通,http://fengqiang.press:8188/rtp/239.49.1.183:6000
欢笑剧场4K,http://fengqiang.press:8188/rtp/239.49.8.231:6000
欢笑剧场HD,http://fengqiang.press:8188/rtp/239.49.8.182:6000
华语影院,http://fengqiang.press:8188/rtp/239.49.1.196:6000
星光影院,http://fengqiang.press:8188/rtp/239.49.1.197:6000
都市剧场,http://fengqiang.press:8188/rtp/239.49.1.170:6000
都市剧场HD,http://fengqiang.press:8188/rtp/239.49.8.180:6000
港剧风云,http://fengqiang.press:8188/rtp/239.49.1.201:6000
南京教科,http://fengqiang.press:8188/rtp/239.49.0.183:9434
南京科教,http://fengqiang.press:8188/rtp/239.49.1.27:6000
南京少儿,http://fengqiang.press:8188/rtp/239.49.8.230:6000
南京生活,http://fengqiang.press:8188/rtp/239.49.1.28:6000
南京生活,http://fengqiang.press:8188/rtp/239.49.0.184:9438
南京十八,http://fengqiang.press:8188/rtp/239.49.9.4:6000
南京十八,http://fengqiang.press:8188/rtp/239.49.1.157:6000
南京十八,http://fengqiang.press:8188/rtp/239.49.0.26:8200
南京新闻,http://fengqiang.press:8188/rtp/239.49.9.3:6000
南京新闻,http://fengqiang.press:8188/rtp/239.49.1.158:6000
南京新闻,http://fengqiang.press:8188/rtp/239.49.0.25:8192
南京信息,http://fengqiang.press:8188/rtp/239.49.8.223:6000
南京影视,http://fengqiang.press:8188/rtp/239.49.8.228:6000
南京娱乐,http://fengqiang.press:8188/rtp/239.49.8.229:6000
东海新闻,http://fengqiang.press:8188/rtp/239.49.9.48:6000
法治天地,http://fengqiang.press:8188/rtp/239.49.1.174:6000
北京纪实科教HD,http://fengqiang.press:8188/rtp/239.49.8.202:6000
动漫秀场,http://fengqiang.press:8188/rtp/239.49.1.171:6000
动漫秀场HD,http://fengqiang.press:8188/rtp/239.49.8.178:6000
茶频道HD,http://fengqiang.press:8188/rtp/239.49.1.234:6000
常州都市,http://fengqiang.press:8188/rtp/239.49.1.133:6000
常州公共,http://fengqiang.press:8188/rtp/239.49.1.131:6000
常州生活,http://fengqiang.press:8188/rtp/239.49.1.132:6000
常州新闻,http://fengqiang.press:8188/rtp/239.49.1.134:6000
赣榆综合,http://fengqiang.press:8188/rtp/239.49.1.247:6000
高淳综合,http://fengqiang.press:8188/rtp/239.49.1.142:6000
连云港公共,http://fengqiang.press:8188/rtp/239.49.1.245:6000
连云港新闻,http://fengqiang.press:8188/rtp/239.49.1.244:6000
沛县新闻HD,http://fengqiang.press:8188/rtp/239.49.9.19:6000
邳州综合,http://fengqiang.press:8188/rtp/239.49.1.232:6000
泗洪综合,http://fengqiang.press:8188/rtp/239.49.9.47:6000
泗阳综合HD,http://fengqiang.press:8188/rtp/239.49.1.103:6000
苏州生活,http://fengqiang.press:8188/rtp/239.49.8.194:6000
宿迁公共,http://fengqiang.press:8188/rtp/239.49.1.123:6000
宿迁综合,http://fengqiang.press:8188/rtp/239.49.1.140:6000
宿豫综合,http://fengqiang.press:8188/rtp/239.49.1.98:6000
睢宁综合,http://fengqiang.press:8188/rtp/239.49.1.246:6000
泰州经济HD,http://fengqiang.press:8188/rtp/239.49.1.100:6000
泰州新闻,http://fengqiang.press:8188/rtp/239.49.9.20:6000
泰州影视HD,http://fengqiang.press:8188/rtp/239.49.1.101:6000
响水综合,http://fengqiang.press:8188/rtp/239.49.1.141:6000
新沂综合,http://fengqiang.press:8188/rtp/239.49.1.228:6000
盱眙新闻HD,http://fengqiang.press:8188/rtp/239.49.9.18:6000
徐州新闻,http://fengqiang.press:8188/rtp/239.49.9.45:6000
沭阳综合,http://fengqiang.press:8188/rtp/239.49.1.117:6000
淮安综合,http://fengqiang.press:8188/rtp/239.49.9.46:6000
国防军事,http://fengqiang.press:8188/rtp/239.49.0.160:9274
环球新闻,http://fengqiang.press:8188/rtp/239.49.1.9:6000
第一财经,http://fengqiang.press:8188/rtp/239.49.1.168:6000
电竞直播HD,http://fengqiang.press:8188/rtp/239.49.8.152:6000
电子竞技,http://fengqiang.press:8188/rtp/239.49.1.193:6000
暴走汽车HD,http://fengqiang.press:8188/rtp/239.49.8.206:6000
财富天下,http://fengqiang.press:8188/rtp/239.49.1.29:6000
财富天下,http://fengqiang.press:8188/rtp/239.49.0.166:9322
好享购物HD,http://fengqiang.press:8188/rtp/239.49.9.41:6000
家有购物,http://fengqiang.press:8188/rtp/239.49.1.252:6000
金色频道,http://fengqiang.press:8188/rtp/239.49.1.169:6000
金鹰纪实HD,http://fengqiang.press:8188/rtp/239.49.8.203:6000
金鹰卡通HD,http://fengqiang.press:8188/rtp/239.49.9.23:6000
聚鲨环球,http://fengqiang.press:8188/rtp/239.49.9.2:6000
聚鲨环球,http://fengqiang.press:8188/rtp/239.49.8.195:6000
空中课堂,http://fengqiang.press:8188/rtp/239.49.0.72:8568
快乐垂钓,http://fengqiang.press:8188/rtp/239.49.0.114:8000
快乐垂钓HD,http://fengqiang.press:8188/rtp/239.49.1.225:6000
全纪实,http://fengqiang.press:8188/rtp/239.49.1.173:6000
全纪实HD,http://fengqiang.press:8188/rtp/239.49.8.179:6000
生活时尚,http://fengqiang.press:8188/rtp/239.49.1.181:6000
生活时尚HD,http://fengqiang.press:8188/rtp/239.49.8.175:6000
时尚女人,http://fengqiang.press:8188/rtp/239.49.0.208:9530
书画频道,http://fengqiang.press:8188/rtp/239.49.1.227:6000
水韵江苏HD,http://fengqiang.press:8188/rtp/239.49.8.155:6000
水韵江苏HD,http://fengqiang.press:8188/rtp/239.49.8.157:6000
先锋乒羽,http://fengqiang.press:8188/rtp/239.49.1.233:6000
优漫卡通,http://fengqiang.press:8188/rtp/239.49.0.21:8160
游戏风云,http://fengqiang.press:8188/rtp/239.49.1.177:6000
游戏风云HD,http://fengqiang.press:8188/rtp/239.49.8.176:6000
游戏竞技,http://fengqiang.press:8188/rtp/239.49.1.71:6000
中国天气,http://fengqiang.press:8188/rtp/239.49.1.58:6000
中视购物,http://fengqiang.press:8188/rtp/239.49.1.104:6000
直播室1,http://fengqiang.press:8188/rtp/239.49.1.189:6000
直播室10,http://fengqiang.press:8188/rtp/239.49.1.209:6000
直播室10HD,http://fengqiang.press:8188/rtp/239.49.8.171:6000
直播室11,http://fengqiang.press:8188/rtp/239.49.1.210:6000
直播室11HD,http://fengqiang.press:8188/rtp/239.49.8.172:6000
直播室1HD,http://fengqiang.press:8188/rtp/239.49.8.160:6000
直播室2,http://fengqiang.press:8188/rtp/239.49.1.190:6000
直播室2HD,http://fengqiang.press:8188/rtp/239.49.8.161:6000
直播室3,http://fengqiang.press:8188/rtp/239.49.1.191:6000
直播室3HD,http://fengqiang.press:8188/rtp/239.49.8.162:6000
直播室4,http://fengqiang.press:8188/rtp/239.49.1.192:6000
直播室4HD,http://fengqiang.press:8188/rtp/239.49.8.163:6000
直播室5,http://fengqiang.press:8188/rtp/239.49.1.204:6000
